#OTU ID	mgm4454167	mgm4454183	mgm4623131	mgm4623132	mgm4623133	mgm4685222	mgm4685223	mgm4685224
Myxococcota	0.0005885815185403	0.0025025260239208	0.0001382440699054	0.0002033968768521	0.0001688660072356	9.64343927098499e-05	0.0001255167961965	0.0001808149365112
Nitrospinota	0.0	2.3497896938224e-05	6.12018017810444e-05	0.0001098939169805	0.0001684948731537	1.81267655469643e-05	1.4515547859469e-05	1.67642987493833e-05
Candidatus.Tectomicrobia	0.0	3.5246845407336e-05	7.20021197424052e-06	2.75666096832559e-05	3.26597992016164e-05	2.41690207292857e-06	8.53855756439353e-07	7.18469946402142e-06
Spirochaetota	0.0002942907592701	0.0008811711351834	0.0009199470832421	0.0018670790234118	0.0021915467532448	0.0003850125002175	0.0003586194177045	0.0002969675778462
Bdellovibrionota	0.0	0.0010104095683436	0.0004111321037291	0.0007722375928836	0.0007478351749006	0.0001870682204446	0.000204071525789	0.0001676429874938
Synergistota	0.0	8.22426392837841e-05	4.58413495693313e-05	0.0001046786124458	0.0001120824927146	2.32022599001143e-05	2.81772399624987e-05	2.75413479454154e-05
Caldisericota	0.0	0.0	7.44021904004854e-06	1.71360006139158e-05	1.85567040918275e-05	2.65859228022143e-06	3.41542302575741e-06	0.0
Fusobacteriota	0.0	0.0002702258147895	0.0011069125875065	0.0012736518717169	0.0014993816906196	0.0002694845811315	0.0002049253815454	0.0002179358837419
Thermotogota	0.0	3.5246845407336e-05	0.0003228095035117	0.0005137074966649	0.0005091959602797	7.51656544680785e-05	6.31853259765121e-05	5.98724955335118e-05
Atribacterota	0.0	0.0001292384331602	3.24009538840823e-05	3.98598275149782e-05	6.7546402894252e-05	1.59515536813286e-05	1.70771151287871e-05	1.91591985707238e-05
Chrysiogenota	0.0	2.3497896938224e-05	1.68004946065612e-05	1.93711311287744e-05	3.52577377744722e-05	2.65859228022143e-06	1.70771151287871e-06	3.59234973201071e-06
Aquificota	0.0	1.1748948469112e-05	0.0001353639851157	0.0001531064402678	0.0001547629121258	1.59515536813286e-05	1.4515547859469e-05	1.19744991067024e-05
